datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-14 06:30:00,1.0919367,0.48579705,-2.836679,-2.3136613,0.48222744,0.8849968,0.4668585
2016-07-14 07:00:00,-0.058801882,-0.9414315,-3.1307173,-2.3386385,-0.7799494,-0.30187273,-0.99250054
2016-07-14 07:30:00,-1.4867905,-2.4897077,-3.1831198,-2.3636155,-1.8296924,-1.7045261,-2.514383
2016-07-14 08:00:00,-2.294608,-3.1474488,-3.2555063,-2.3885927,-2.334023,-2.3654888,-3.0855832
2016-07-14 08:30:00,-3.5289514,-3.6971226,-3.3700814,-2.4135697,-3.2899952,-3.3898292,-3.6124156
2016-07-14 09:00:00,-4.0917354,-3.9544973,-3.4873214,-2.438547,-3.754727,-3.9083235,-3.8833745
2016-07-14 09:30:00,-4.6591167,-4.2207355,-3.5765836,-2.457751,-4.228199,-4.4435616,-4.163665
2016-07-14 10:00:00,-5.580195,-4.7651963,-3.7508779,-2.4769552,-5.0849752,-5.500205,-4.732227
2016-07-14 10:30:00,-5.974777,-5.0809364,-3.9404109,-2.4695044,-5.4888363,-6.0072093,-5.0608535
2016-07-14 11:00:00,-6.4863396,-5.5078564,-4.1473727,-2.4667363,-5.9574957,-6.5277176,-5.506632
2016-07-14 11:30:00,-6.909087,-5.880105,-4.3133774,-2.4670155,-6.363729,-6.9084625,-5.894868
2016-07-14 12:00:00,-7.3074207,-6.2294903,-4.515546,-2.4811745,-6.7540736,-7.2679667,-6.259557
2016-07-14 12:30:00,-7.4601755,-6.5489497,-4.725993,-2.4602275,-7.1157675,-7.40125,-6.593008
2016-07-14 13:00:00,-7.524039,-6.6776314,-4.978704,-2.452055,-7.292852,-7.4649034,-6.7273264
2016-07-14 13:30:00,-7.0435514,-6.729254,-5.076303,-2.3306198,-7.3631845,-6.9449105,-6.7812095
