datetime,Model: H+Water Table+Wind Spd+Active Layer,Model: H,Model: Water Table,Model: Wind Spd,Model: Active Layer,Model: H+Water Table,Model: H+Wind Spd,Model: H+Active Layer,Model: H+Water Table+Active Layer,Model: H+Wind Spd+Active Layer,BestModel: H+Wind Spd+Active Layer
2017-06-26 04:30:00,0.2350056,0.25512034,-0.539076,-0.49790695,-0.5841098,0.15752278,0.26288122,0.23808728,0.1816179,0.27048957,0.35277027
2017-06-26 05:00:00,0.2335317,0.2556855,-0.539076,-0.52579796,-0.58432096,0.15802436,0.24704127,0.23809187,0.18168806,0.28002912,0.33850348
2017-06-26 05:30:00,0.2361639,0.25624877,-0.539076,-0.55288863,-0.58453214,0.15852587,0.20704149,0.23809646,0.18175827,0.28813666,0.32827264
2017-06-26 06:00:00,0.24151282,0.26297414,-0.539076,-0.57153004,-0.5847433,0.1653475,0.18095349,0.24282597,0.18803816,0.29179525,0.32325977
2017-06-26 06:30:00,0.2186505,0.22165088,-0.539076,-0.56022227,-0.5849545,0.1338983,0.17837553,0.22013818,0.1583414,0.27336818,0.30842113
2017-06-26 07:00:00,0.15279315,0.06964474,-0.539076,-0.54982495,-0.5851657,0.026283432,0.12079059,0.121094994,0.07067119,0.20747404,0.24695693
2017-06-26 07:30:00,0.089926176,-0.06910104,-0.539076,-0.5517218,-0.58537686,-0.082295515,0.022193123,0.02409606,-0.011907707,0.12992434,0.1600716
2017-06-26 08:00:00,0.051532555,-0.14631547,-0.539076,-0.55230254,-0.58558804,-0.14450733,-0.035362285,-0.030370843,-0.059933912,0.08483224,0.110123806
2017-06-26 08:30:00,0.11538344,-0.020745765,-0.539076,-0.54089946,-0.5857992,-0.04420666,0.06771522,0.05716901,0.016146649,0.15792786,0.19905196
2017-06-26 09:00:00,0.039929736,-0.16136415,-0.539076,-0.5594067,-0.5860104,-0.15663381,-0.052691918,-0.041659813,-0.0700554,0.069475405,0.092820995
2017-06-26 09:30:00,0.15422432,0.078757696,-0.539076,-0.55056036,-0.5862215,0.03290968,0.1256933,0.12558119,0.07386338,0.21040498,0.24919896
2017-06-26 10:00:00,0.010930111,-0.18905039,-0.539076,-0.5806264,-0.5864327,-0.18005516,-0.106102444,-0.06180219,-0.08796836,0.03502922,0.058264006
2017-06-26 10:30:00,-0.013634334,-0.1851757,-0.539076,-0.60160464,-0.5866439,-0.17663677,-0.14286797,-0.05946089,-0.0860014,0.0075942767,0.04313289
2017-06-26 11:00:00,-0.041063886,-0.23910771,-0.539076,-0.59821504,-0.58685505,-0.22439699,-0.17064293,-0.096996345,-0.11996622,-0.020301651,0.008798589
2017-06-26 11:30:00,-0.23726167,-0.6813282,-0.539076,-0.55791146,-0.58706623,-0.65644544,-0.44375992,-0.40404263,-0.41838914,-0.22199483,-0.23143436
2017-06-26 12:00:00,-0.6565891,-1.1680063,-0.539076,-0.5672139,-0.5872774,-1.2324206,-0.9445825,-0.86854887,-0.83833784,-0.653739,-0.63141453
2017-06-26 12:30:00,-0.89787346,-1.3648539,-0.5429269,-0.5724608,-0.5874886,-1.4068768,-1.1529306,-1.1731223,-1.0632739,-0.89504963,-0.85978836
2017-06-26 13:00:00,-0.8519545,-1.4045045,-0.54677784,-0.5393731,-0.5876997,-1.4394623,-1.1373941,-1.184789,-1.1017039,-0.85487676,-0.81559575
2017-06-26 13:30:00,-0.8613071,-1.431236,-0.54677784,-0.534635,-0.58791095,-1.4629664,-1.1555434,-1.1960024,-1.1294165,-0.86002856,-0.8349074
2017-06-26 14:00:00,-0.88285756,-1.4239398,-0.54677784,-0.54708457,-0.58812207,-1.4565511,-1.168766,-1.1928539,-1.1225599,-0.8806154,-0.85167664
2017-06-26 14:30:00,-0.8291394,-1.3494684,-0.54677784,-0.5409086,-0.58833325,-1.3906535,-1.0866355,-1.1690149,-1.04953,-0.82922715,-0.76711893
2017-06-26 15:00:00,-0.7262833,-1.2278103,-0.54677784,-0.5386516,-0.5885444,-1.2862349,-0.9589226,-0.99435794,-0.9257478,-0.7175682,-0.6394521
2017-06-26 15:30:00,-0.8414911,-1.2632059,-0.54677784,-0.5760719,-0.5887556,-1.3112725,-1.0625155,-1.0660129,-0.9658913,-0.84999776,-0.7691886
2017-06-26 16:00:00,-0.75455505,-1.2030822,-0.54677784,-0.58420897,-0.5889668,-1.266002,-1.0222355,-0.945393,-0.8924669,-0.76295286,-0.7212834
2017-06-26 16:30:00,-0.87004733,-1.2359283,-0.54677784,-0.6150738,-0.5891779,-1.2927408,-1.1135772,-1.0119184,-0.9373587,-0.9109357,-0.8485525
2017-06-26 17:00:00,-0.79044086,-1.1930047,-0.54677784,-0.6158119,-0.5893891,-1.2573534,-1.0729234,-0.9253078,-0.8779323,-0.8275978,-0.80164546
2017-06-26 17:30:00,-0.6907181,-1.1621621,-0.54677784,-0.5962431,-0.5896003,-1.222258,-0.9918883,-0.8610137,-0.82705563,-0.70951223,-0.6979138
2017-06-26 18:00:00,-0.70871353,-1.1693413,-0.54677784,-0.59830606,-0.58981144,-1.2311707,-1.0068153,-0.8765669,-0.8397984,-0.72936124,-0.7144808
2017-06-26 18:30:00,-0.56446695,-1.0836099,-0.54677784,-0.59456855,-0.5900226,-1.0920168,-0.83532166,-0.7230128,-0.6998795,-0.5638332,-0.5992485
