,Model,MSE,Size,Number,SE,Performance
156,H+LE+Wind Spd+PPFD+Water Table+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0030354284036488714,10,3,0.0003194331118556076,1
157,H+LE+Wind Spd+PPFD+Ts 2.5 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.00301674250819505,10,4,0.00030300399641119426,1
158,H+LE+Wind Spd+PPFD+Ts 5 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.003047850773077655,10,5,0.0003395828833324002,1
159,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0029570488642990025,10,6,0.0003369132997273074,2
160,H+LE+Wind Spd+PPFD+Ts 2.5 cm Rim+Ts 5 cm Rim+VWC+Active Layer+VPD+u*,0.0030751578380644683,10,7,0.0003235062022412295,1
161,H+LE+Wind Spd+PPFD+Ts 2.5 cm Rim+Ts 15 cm Rim+VWC+Active Layer+VPD+u*,0.0030758162205842357,10,8,0.00036385643598126327,1
162,H+LE+Wind Spd+PPFD+Ts 2.5 cm Rim+Ts All Cent+VWC+Active Layer+VPD+u*,0.0030414011624117347,10,9,0.00035087179782570795,1
163,H+LE+Wind Spd+PPFD+Ts 2.5 cm Rim+Ts All Rim+VWC+Active Layer+VPD+u*,0.0030478922293807093,10,10,0.00041251997490062233,1
164,H+LE+Wind Spd+PPFD+Ts 2.5 cm Rim+VWC+Active Layer+24H Rain+VPD+u*,0.0030502178876214425,10,11,0.0003429982533265024,1
165,H+LE+Wind Spd+air pressure+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.003026782620308242,11,0,0.000410013036213933,1
166,H+LE+Wind Spd+Ta+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0029886079330021893,11,1,0.0003374811725576191,1
167,H+LE+Wind Spd+Rn+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.002976419183552589,11,2,0.0004716997844327936,1
168,H+LE+Wind Spd+PPFD+Water Table+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0029063450859042076,11,3,0.00035739265429293905,2
169,H+LE+Wind Spd+PPFD+Ts 2.5 cm Cent+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.0029365984136197607,11,4,0.0003551149273962439,1
170,H+LE+Wind Spd+PPFD+Ts 5 cm Cent+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+VPD+u*,0.002940246161274889,11,5,0.00032104700384360434,1
171,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+Ts 5 cm Rim+VWC+Active Layer+VPD+u*,0.003006434851383473,11,6,0.0003456782375658301,1
172,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+Ts 15 cm Rim+VWC+Active Layer+VPD+u*,0.0030167858069228572,11,7,0.0003603723253228078,1
173,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+Ts All Cent+VWC+Active Layer+VPD+u*,0.002972955424316329,11,8,0.00030439759990885987,1
174,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+Ts All Rim+VWC+Active Layer+VPD+u*,0.002928451992326903,11,9,0.0002980396093137276,1
175,H+LE+Wind Spd+PPFD+Ts 15 cm Cent+Ts 2.5 cm Rim+VWC+Active Layer+24H Rain+VPD+u*,0.0030091967773011774,11,10,0.00028980267734033446,1
